,MAE,Estimator,n
176,148.49930336124123,MLE,128
177,73.42868193053421,MPLE,128
178,91.33359172104834,MLE,256
179,52.53821194975113,MPLE,256
180,57.42222838332381,MLE,512
181,36.5748023705566,MPLE,512
182,15.987019483375795,MLE,1024
183,15.967166334651198,MPLE,1024
184,12.002552643125767,MLE,2048
185,36.757055298467954,MPLE,2048
186,9.035038980541248,MLE,4096
187,9.830960627684217,MPLE,4096
188,6.542228483117392,MLE,8192
189,6.546409077843566,MPLE,8192
190,4.371283800376307,MLE,16384
191,4.603928896558778,MPLE,16384
192,2232.0818817741183,MLE,128
193,57.39400566733144,MPLE,128
194,305.55568562575735,MLE,256
195,91.12320130271326,MPLE,256
196,266.52051221789037,MLE,512
197,65.19064923702987,MPLE,512
198,133.59014577451205,MLE,1024
199,34.89711946444906,MPLE,1024
200,102.28932092019758,MLE,2048
201,33.75868958504421,MPLE,2048
202,27.975574677719706,MLE,4096
203,22.173391130687644,MPLE,4096
204,37.28273959343212,MLE,8192
205,23.580176702472688,MPLE,8192
206,13.099990950068891,MLE,16384
207,30.68351265295326,MPLE,16384
208,168.66197637070735,MLE,128
209,53.5647102950863,MPLE,128
210,55.002062737886305,MLE,256
211,43.05830084481929,MPLE,256
212,25.577433620663378,MLE,512
213,29.123409278677375,MPLE,512
214,21.532757084450253,MLE,1024
215,19.229460702706906,MPLE,1024
216,11.557318194600848,MLE,2048
217,11.131311158180212,MPLE,2048
218,8.619665436346311,MLE,4096
219,9.008134709912534,MPLE,4096
220,10.464381373732396,MLE,8192
221,10.353156071714986,MPLE,8192
222,3.5680794805359177,MLE,16384
223,3.6162622708522703,MPLE,16384
224,178.1058789405427,MLE,128
225,57.38722201645691,MPLE,128
226,54.39431309139568,MLE,256
227,35.28335035261384,MPLE,256
228,21.924126034790095,MLE,512
229,18.48723176741067,MPLE,512
230,18.459720790996812,MLE,1024
231,18.249938996819747,MPLE,1024
232,19.1222924745936,MLE,2048
233,14.74517436735281,MPLE,2048
234,8.565379439600138,MLE,4096
235,8.379780212809287,MPLE,4096
236,5.494346289926477,MLE,8192
237,4.92959060321294,MPLE,8192
238,4.441406740212881,MLE,16384
239,4.501433416634812,MPLE,16384
240,622.2930245271509,MLE,128
241,88.79444147652455,MPLE,128
242,413.7388418123111,MLE,256
243,83.85269739135613,MPLE,256
244,924.5871106018884,MLE,512
245,29.33094234143684,MPLE,512
246,214.10885111381648,MLE,1024
247,36.09091875371658,MPLE,1024
248,76.71033827847822,MLE,2048
249,27.392187685934474,MPLE,2048
250,38.673011983772376,MLE,4096
251,17.62994216920929,MPLE,4096
252,17.421305264312856,MLE,8192
253,15.859636639168723,MPLE,8192
254,19.608369190142376,MLE,16384
255,17.466898326256008,MPLE,16384
256,607.8884813554182,MLE,128
257,128.82673087289345,MPLE,128
258,356.5272820064978,MLE,256
259,87.41732031656088,MPLE,256
260,69.86636123703485,MLE,512
261,39.22736780280702,MPLE,512
262,34.438494398139326,MLE,1024
263,25.340023805140106,MPLE,1024
264,28.653215119929627,MLE,2048
265,20.99967367428628,MPLE,2048
266,12.270748583579664,MLE,4096
267,12.710694854217063,MPLE,4096
268,7.457554813828043,MLE,8192
269,7.42767815191667,MPLE,8192
270,6.407882116682452,MLE,16384
271,7.951938869374436,MPLE,16384
272,780.6286595013033,MLE,128
273,113.64285721833198,MPLE,128
274,421.3419756875637,MLE,256
275,68.81893766199117,MPLE,256
276,325.6625361335243,MLE,512
277,36.45314453673718,MPLE,512
278,159.9995953976545,MLE,1024
279,57.248037722857525,MPLE,1024
280,90.72733162345975,MLE,2048
281,30.376764747606728,MPLE,2048
282,51.5632103491136,MLE,4096
283,26.999553138078817,MPLE,4096
284,37.21989694259743,MLE,8192
285,19.621249762020394,MPLE,8192
286,13.9603754801295,MLE,16384
287,13.279335086488006,MPLE,16384
288,208.5742185971701,MLE,128
289,98.30171136753603,MPLE,128
290,98.99540664963304,MLE,256
291,55.652579534790526,MPLE,256
292,40.87075535833435,MLE,512
293,28.368199684335575,MPLE,512
294,23.54635769717281,MLE,1024
295,20.449419435518674,MPLE,1024
296,30.076184202803557,MLE,2048
297,22.680503988611907,MPLE,2048
298,10.438518928596734,MLE,4096
299,10.851004395189497,MPLE,4096
300,6.725289438318506,MLE,8192
301,6.984350051813787,MPLE,8192
302,4.669870883898021,MLE,16384
303,4.689371172086092,MPLE,16384
304,63.289627600252295,MLE,128
305,47.151650584568884,MPLE,128
306,41.73000930455006,MLE,256
307,40.35441381478776,MPLE,256
308,15.342487007504381,MLE,512
309,15.400149670083282,MPLE,512
310,16.99079414910352,MLE,1024
311,16.932132495312715,MPLE,1024
312,9.963691220459447,MLE,2048
313,9.643796990194701,MPLE,2048
314,8.444970976933433,MLE,4096
315,8.37978839000113,MPLE,4096
316,5.257855892364,MLE,8192
317,5.154524289216337,MPLE,8192
318,3.8392142500001354,MLE,16384
319,3.998602561280987,MPLE,16384
320,665.269606579281,MLE,128
321,146.86081631088294,MPLE,128
322,141.2239223218473,MLE,256
323,74.69768177480466,MPLE,256
324,101.33179660064141,MLE,512
325,55.05431696551295,MPLE,512
326,24.908358304848463,MLE,1024
327,23.909829061964103,MPLE,1024
328,14.535990059090157,MLE,2048
329,13.908332785616016,MPLE,2048
330,14.29194647002853,MLE,4096
331,16.4345995506087,MPLE,4096
332,9.283838916748094,MLE,8192
333,9.82969376858908,MPLE,8192
334,5.621709482445938,MLE,16384
335,7.265363783844837,MPLE,16384
336,191.29340498934585,MLE,128
337,74.16902363009325,MPLE,128
338,148.3498647610575,MLE,256
339,54.98648177865371,MPLE,256
340,60.05346322966651,MLE,512
341,38.69704943961355,MPLE,512
342,19.92464141906631,MLE,1024
343,19.2678298184071,MPLE,1024
344,13.733672462971802,MLE,2048
345,13.633210778697059,MPLE,2048
346,14.482796309184424,MLE,4096
347,14.065998458003182,MPLE,4096
348,7.9181632010298335,MLE,8192
349,8.25835821964513,MPLE,8192
350,8.314229096742407,MLE,16384
351,8.208719599370179,MPLE,16384
352,2157.517457745994,MLE,128
353,195.39813497349584,MPLE,128
354,696.3779065343901,MLE,256
355,102.00425786970541,MPLE,256
356,265.81565392545406,MLE,512
357,53.44044291084009,MPLE,512
358,94.0962180664997,MLE,1024
359,36.63404300083397,MPLE,1024
360,97.35307853515296,MLE,2048
361,31.059665101063718,MPLE,2048
362,37.176216236647164,MLE,4096
363,27.43351008077361,MPLE,4096
364,24.956760249972877,MLE,8192
365,19.83215166182595,MPLE,8192
366,20.528126160239893,MLE,16384
367,34.388413548607964,MPLE,16384
368,166.34116874716938,MLE,128
