MAE,Estimator,n
5.150044324898424,MPLE,4096
3.5853925658889314,MLE,8192
3.5711493223493926,MPLE,8192
2.808244210987929,MLE,16384
3.1846405548080856,MPLE,16384
408.7721142244336,MLE,64
1004.8680548963309,MPLE,64
114.14456740474166,MLE,128
106.79261040497488,MPLE,128
186.38832594280615,MLE,256
223.4706885602268,MPLE,256
18.056739776272796,MLE,512
20.10165812028408,MPLE,512
10.535507917418467,MLE,1024
10.835694278039181,MPLE,1024
40.75172555278608,MLE,2048
90.78782282859302,MPLE,2048
7.599703666479941,MLE,4096
8.681787662846656,MPLE,4096
10.332680923407517,MLE,8192
10.371075457916138,MPLE,8192
4.4954483413213175,MLE,16384
4.651977725696038,MPLE,16384
80.84392832565236,MLE,64
97.4995525694066,MPLE,64
210.49156582904362,MLE,128
176.75895809609636,MPLE,128
202.11571049093422,MLE,256
401.35334811168343,MPLE,256
124.89477154799908,MLE,512
190.34094714778476,MPLE,512
43.99014291814043,MLE,1024
53.36067304057795,MPLE,1024
61.7077904728008,MLE,2048
155.46186340974828,MPLE,2048
34.77871833760626,MLE,4096
37.01243484800632,MPLE,4096
22.428102062875876,MLE,8192
35.63588864319481,MPLE,8192
11.104266416617216,MLE,16384
11.855099698997073,MPLE,16384
1980.601242749936,MLE,64
768.3932186526464,MPLE,64
216.39947987422158,MLE,128
180.56893234151215,MPLE,128
100.26036449292044,MLE,256
131.42383890404645,MPLE,256
327.2155178582454,MLE,512
848.1538563363881,MPLE,512
81.10536979512929,MLE,1024
59.7531988587644,MPLE,1024
30.08533288855172,MLE,2048
97.63360939716885,MPLE,2048
28.729581507175038,MLE,4096
32.87983181234742,MPLE,4096
11.319614709963544,MLE,8192
13.000545256223534,MPLE,8192
24.179133561038892,MLE,16384
27.09240137469767,MPLE,16384
84.04621829061003,MLE,64
115.6858081592494,MPLE,64
213.08117921326254,MLE,128
164.88903024678226,MPLE,128
176.1399906894341,MLE,256
194.6212151534868,MPLE,256
143.1799583144794,MLE,512
206.37142765881276,MPLE,512
31.551030174507268,MLE,1024
39.20890913540776,MPLE,1024
54.47912599509476,MLE,2048
155.0924142217985,MPLE,2048
18.15112652898881,MLE,4096
31.74686229224512,MPLE,4096
16.971538980023745,MLE,8192
30.4595584562542,MPLE,8192
9.289367657374978,MLE,16384
24.045829970872877,MPLE,16384
315.9984865308446,MLE,64
422.8296316097808,MPLE,64
463.32177433897175,MLE,128
635.8445480485209,MPLE,128
620.7149166724312,MLE,256
418.8150699830402,MPLE,256
184.01621330320722,MLE,512
182.07250922480657,MPLE,512
17.85742295859097,MLE,1024
20.81063433464637,MPLE,1024
26.22444826152967,MLE,2048
21.77496501923921,MPLE,2048
9.532694247956963,MLE,4096
9.1227619107262,MPLE,4096
7.629273251927906,MLE,8192
8.146280898200112,MPLE,8192
7.197144078687419,MLE,16384
7.969035469281595,MPLE,16384
47.18017788607531,MLE,64
45.98828766416171,MPLE,64
213.35080626216518,MLE,128
268.965371332415,MPLE,128
39.868851213135244,MLE,256
36.52350780648079,MPLE,256
17.34461686456241,MLE,512
18.090508452316005,MPLE,512
9.023544544256671,MLE,1024
8.666020157544715,MPLE,1024
5.270670961493414,MLE,2048
5.228199724076754,MPLE,2048
6.805294608865309,MLE,4096
6.907990984489513,MPLE,4096
4.551230871543711,MLE,8192
4.696345699311832,MPLE,8192
3.7861430365698308,MLE,16384
3.722360717407254,MPLE,16384
289.7609394872521,MLE,64
376.7155795715761,MPLE,64
163.3554204012697,MLE,128
229.10720263310043,MPLE,128
160.0368488282189,MLE,256
138.01937566503383,MPLE,256
34.15083721839982,MLE,512
31.71016847671847,MPLE,512
88.19585262211811,MLE,1024
45.815850008987525,MPLE,1024
26.198201484801846,MLE,2048
28.735740449101954,MPLE,2048
7.402388264958215,MLE,4096
17.12566130408916,MPLE,4096
13.294430879413618,MLE,8192
13.75403083841017,MPLE,8192
7.629524986779986,MLE,16384
18.832082661011516,MPLE,16384
845.2297183691416,MLE,64
726.0694660914685,MPLE,64
75.00201173040273,MLE,128
200.2748294024736,MPLE,128
32.59892995312742,MLE,256
32.274340442843155,MPLE,256
15.044304000414275,MLE,512
14.160400567678503,MPLE,512
5.926212823869883,MLE,1024
5.939131455745109,MPLE,1024
5.082940636475355,MLE,2048
5.091812318952098,MPLE,2048
4.12545314944948,MLE,4096
4.152098282610609,MPLE,4096
4.886565171659142,MLE,8192
4.922368502127811,MPLE,8192
3.930415298794087,MLE,16384
3.90274733644904,MPLE,16384
72.28856982911837,MLE,64
130.02092728982265,MPLE,64
155.06684837202502,MLE,128
152.05028451884596,MPLE,128
64.51429308905408,MLE,256
172.1003708374678,MPLE,256
45.35312016219674,MLE,512
47.32654647612157,MPLE,512
12.928266387872712,MLE,1024
10.906606939721643,MPLE,1024
7.235320852408221,MLE,2048
7.364009900119882,MPLE,2048
8.806400966349374,MLE,4096
8.742910002576627,MPLE,4096
12.890232949862142,MLE,8192
13.95185390809501,MPLE,8192
6.8238562210863085,MLE,16384
7.9688421421592786,MPLE,16384
415.8325554613617,MLE,64
2870.3754807649693,MPLE,64
505.8954029643953,MLE,128
314.93339187441075,MPLE,128
296.5579302453206,MLE,256
788.0139726293605,MPLE,256
40.82925323869306,MLE,512
42.279891462758904,MPLE,512
13.008041630393077,MLE,1024
13.454660193192527,MPLE,1024
13.884093520133435,MLE,2048
14.127250137455949,MPLE,2048
14.136514498883791,MLE,4096
15.390970619988813,MPLE,4096
5.885088642536772,MLE,8192
6.8590828506497905,MPLE,8192
4.326002864257026,MLE,16384
4.4701318230981055,MPLE,16384
32.39097737217809,MLE,64
45.56098580948913,MPLE,64
85.78226762289599,MLE,128
180.83044071132335,MPLE,128
23.69833179328323,MLE,256
37.67230302215502,MPLE,256
35.99914868382205,MLE,512
51.25111664584144,MPLE,512
64.06409957998558,MLE,1024
55.137179613132695,MPLE,1024
14.423289810798883,MLE,2048
45.66414227476037,MPLE,2048
38.698502882640646,MLE,4096
48.61134224723965,MPLE,4096
22.77297883643749,MLE,8192
51.72639874085686,MPLE,8192
8.281473784223333,MLE,16384
20.286551322954722,MPLE,16384
187.8108917976967,MLE,64
293.36906305724875,MPLE,64
117.81395062033855,MLE,128
100.84538647109295,MPLE,128
106.42509222407557,MLE,256
179.7831557924157,MPLE,256
88.27976840464113,MLE,512
217.42382071510653,MPLE,512
21.39725879428464,MLE,1024
32.29557990386846,MPLE,1024
135.0593934554371,MLE,2048
86.98345569758796,MPLE,2048
27.967132626280065,MLE,4096
46.351658556411834,MPLE,4096
7.084860627446479,MLE,8192
7.139525596862415,MPLE,8192
8.581019778489807,MLE,16384
10.168866410850045,MPLE,16384
390.510449653411,MLE,64
3140.4191437491813,MPLE,64
2536.3481590010983,MLE,128
534.3642109784276,MPLE,128
127.70850949016291,MLE,256
140.42161110301063,MPLE,256
143.95963213428635,MLE,512
166.30544417764762,MPLE,512
52.15273682570957,MLE,1024
47.03910262032883,MPLE,1024
47.07255289776953,MLE,2048
51.09932123762327,MPLE,2048
9.380896024884771,MLE,4096
21.529217654054822,MPLE,4096
5.763027738470934,MLE,8192
15.86641637700425,MPLE,8192
3.6824070580334203,MLE,16384
4.0847003118817655,MPLE,16384
101.1735365968755,MLE,64
1059.5450589437628,MPLE,64
72.56018799745505,MLE,128
163.47263119405372,MPLE,128
94.10700931259619,MLE,256
116.74871047192204,MPLE,256
47.98554904020067,MLE,512
111.19390976657769,MPLE,512
17.70311034014187,MLE,1024
23.229451503358945,MPLE,1024
11.352707891660904,MLE,2048
23.455852481479262,MPLE,2048
7.519438014937091,MLE,4096
15.176529422877458,MPLE,4096
4.887228811532933,MLE,8192
8.830507750598168,MPLE,8192
6.6762063870360615,MLE,16384
7.433866121508206,MPLE,16384
199.8112799905706,MLE,64
311.4256023926597,MPLE,64
168.0113123301997,MLE,128
142.18871266392335,MPLE,128
90.47728461966265,MLE,256
62.15791063133297,MPLE,256
16.554262712538637,MLE,512
16.10566755973885,MPLE,512
22.295983955372023,MLE,1024
22.508281642637428,MPLE,1024
7.837831441012576,MLE,2048
8.347644969519731,MPLE,2048
7.43144019061041,MLE,4096
7.675895433496858,MPLE,4096
5.991679717936089,MLE,8192
6.141646115833275,MPLE,8192
3.5141792507502165,MLE,16384
3.7041229329607295,MPLE,16384
63.91791751832041,MLE,64
51.8416477576252,MPLE,64
1948.974774352629,MLE,128
3174.232430700919,MPLE,128
367.45594056988244,MLE,256
547.8678090211154,MPLE,256
61.06806472231782,MLE,512
444.2892673896115,MPLE,512
97.57489986242946,MLE,1024
192.21743705210136,MPLE,1024
96.68900731090208,MLE,2048
275.3328605153199,MPLE,2048
16.32527947929404,MLE,4096
39.47606216744567,MPLE,4096
14.038993349172106,MLE,8192
20.80095479934061,MPLE,8192
16.50696997246494,MLE,16384
32.80226642081638,MPLE,16384
7.753482908992696,MLE,64
8.207784896996884,MPLE,64
459.0325357746489,MLE,128
401.091857214165,MPLE,128
324.45437922588974,MLE,256
218.80765080308043,MPLE,256
100.98083165197525,MLE,512
358.1472529232421,MPLE,512
516.602657023677,MLE,1024
1737.9904636931624,MPLE,1024
113.73057874666883,MLE,2048
445.3566610317106,MPLE,2048
