MAE,Estimator,n
54.87624034843318,MLE,128
54.32932666374509,MPLE,128
70.2312733225644,MLE,256
73.1411118950468,MPLE,256
63.78221815644195,MLE,512
74.45135836603232,MPLE,512
35.06884504245072,MLE,1024
37.90460576469403,MPLE,1024
29.967166645319512,MLE,2048
27.942610135509234,MPLE,2048
13.991937827698036,MLE,4096
15.618268089143987,MPLE,4096
38.11040001744088,MLE,8192
38.28259351957396,MPLE,8192
11.987140705802307,MLE,16384
12.061931763631716,MPLE,16384
539.8251972621595,MLE,64
1154.7449167669638,MPLE,64
3505.0231798208306,MLE,128
4803.045516383623,MPLE,128
56.92827741396111,MLE,256
53.35402189455085,MPLE,256
69.90810686179097,MLE,512
69.65348780041887,MPLE,512
71.16349738403022,MLE,1024
71.92324910084349,MPLE,1024
40.198255097270135,MLE,2048
40.68970084560029,MPLE,2048
55.25351207859142,MLE,4096
51.446083870530735,MPLE,4096
69.05330540650405,MLE,8192
70.55073180051515,MPLE,8192
38.5155407076266,MLE,16384
30.76450664005915,MPLE,16384
368.7182286941401,MLE,64
305.24784482563916,MPLE,64
237.93777214202362,MLE,128
225.16336027784777,MPLE,128
46.93823708450923,MLE,256
48.75434286332384,MPLE,256
75.2552450316428,MLE,512
75.2785770518452,MPLE,512
42.781460153864806,MLE,1024
42.53570405089125,MPLE,1024
22.581917669065426,MLE,2048
22.42830018070945,MPLE,2048
18.29316316339507,MLE,4096
36.03257935590511,MPLE,4096
15.862074556078378,MLE,8192
16.395183458079227,MPLE,8192
11.999766141277934,MLE,16384
11.488436947347257,MPLE,16384
41.46187189217186,MLE,64
38.35657955119144,MPLE,64
31.87906610943837,MLE,128
34.464536377568336,MPLE,128
36.08654492311865,MLE,256
33.24486859543455,MPLE,256
16.75285587437945,MLE,512
16.222275792578927,MPLE,512
18.238602042315915,MLE,1024
20.454449836130497,MPLE,1024
8.136209381624559,MLE,2048
8.347149666285896,MPLE,2048
18.6375728404052,MLE,4096
19.93838044871209,MPLE,4096
4.976309831402035,MLE,8192
5.920793277224117,MPLE,8192
4.835103102332525,MLE,16384
4.028779159872414,MPLE,16384
39.0716321433244,MLE,64
42.66405828236233,MPLE,64
38.11735948436416,MLE,128
46.6615994608764,MPLE,128
41.04726734097638,MLE,256
40.1211137138674,MPLE,256
20.1525255449369,MLE,512
19.916712757184882,MPLE,512
11.013492395117963,MLE,1024
12.337040406716588,MPLE,1024
26.38620854098811,MLE,2048
26.544040883671798,MPLE,2048
6.926933697615799,MLE,4096
14.81908966603193,MPLE,4096
9.400334439755586,MLE,8192
9.821083030457178,MPLE,8192
13.762727709378664,MLE,16384
14.989938787656243,MPLE,16384
45.53165430013159,MLE,64
42.593954379497234,MPLE,64
29.685445355934895,MLE,128
29.23471392368926,MPLE,128
21.060649070727575,MLE,256
23.093423804432764,MPLE,256
18.087376310848956,MLE,512
18.01274799632081,MPLE,512
10.900424261110464,MLE,1024
11.454188486926713,MPLE,1024
5.0358243150959865,MLE,2048
4.50009387529578,MPLE,2048
4.405838652125983,MLE,4096
4.3339309138379445,MPLE,4096
3.948029156799141,MLE,8192
4.048824467593929,MPLE,8192
5.285577793501491,MLE,16384
