# 0.00700324, 3.3995, 0.605417, 0.915817, 1.00726, 0.812046, 0.674875, 0.583945, 0.902212, 0.970441, 0.891836, 0.597608, 1.18441, 1.22492, 0.788054, 0.741528, 1.17737, 1.13907, 1.11075, 1.21386, 1.52913, 1.40282, 1.6005, 1.42476, 1.96278, 1.95585, 2.55944, 1.94285, 2.42698, 2.23795, 0.740942, 0.895003, 1.06575, 1.07473, 0.886983, 1.1123, 0.987937, 1.11804, 0.865784, 0.823951, 1.00592, 1.02486, 0.00113017, 0.654877, 0.000240548, 0.16058, 0.00235143, 0.521848, 0.00273078, 0.638271, 0.00197147, 0.285628, 0.00282145, 0.600664, 0.00195686, 0.45622, 0.00183458, 0.56029, 0.00278529, 0.571428, 0.0042411, 0.801312, 0.00548488, 0.780036, 0.00251498, 0.597348
-102.045,0.976156,0.0872615,6,63,0,131.548,0.169204,2.79586,-0.214744,1.61313,1.4191,-2.06457,-1.99048,-1.44001,-2.45235,-0.377937,-2.44009,-0.908858,-3.03319,-0.119503,-2.24085,-0.0597329,-1.07061,-3.0852,-2.86511,-0.225771,1.17308,-0.213559,0.32683,-0.335799,0.673773,-0.850561,-0.590027,-1.73469,-1.04451,-0.576627,-2.3469,0.483302,-2.37869,-0.728745,-0.567109,-0.109931,-1.61965,-2.12904,-3.14734,-3.34751,0.179373,-1.46151,-0.0513963,0.244916,-0.0377657,1.05892,-0.172193,-0.197002,-0.13737,-0.190361,0.0302947,-0.0174088,-0.024165,-0.252634,-0.182727,-0.168521,2.29427,0.793182,0.614258,1.59508,-2.94849,-1.9658,-2.33247,0.909103,-2.63543,-0.227126
-103.779,0.872567,0.0872615,6,63,0,130.484,0.186468,-0.184465,-0.258315,0.116763,-0.502724,1.30334,-0.696162,-2.48514,-1.42141,0.780233,0.557246,1.50394,0.662309,-1.08605,0.642451,0.0172708,-1.02901,-1.70285,-2.59862,0.545223,-1.33823,-1.20009,-0.155302,-1.90528,-0.400875,0.023977,-2.3008,-1.82691,-2.97084,-0.475073,0.838757,-0.205802,0.469049,0.62381,0.85964,-0.899325,-0.349406,0.178005,-0.516261,1.86335,-1.83076,0.0086622,-0.0309614,0.511124,-0.0325457,1.29516,-0.204901,-0.166196,-0.0903106,-0.188719,-0.0441131,-0.045019,-0.047881,-0.122003,-0.282829,-0.234832,2.58484,1.86194,0.290641,1.50927,-1.47236,-1.8842,-3.90161,-1.68008,2.10948,1.76177
-98.0234,0.86402,0.0872615,5,31,0,128.709,0.137177,2.95175,0.19557,1.39511,1.15087,-0.833799,-1.39685,-0.718065,-2.62243,0.99572,-0.841214,1.54142,-2.00948,1.35302,-0.38711,0.657104,-0.941735,-2.74782,-2.21407,0.138324,2.20194,-0.0432732,1.00866,1.38432,1.46903,-0.315631,-0.193569,-0.958808,-0.512616,1.11543,0.300553,0.934567,0.325913,-0.807284,0.720722,1.48703,-1.48322,-1.249,-2.0067,-1.04318,-0.0452528,-0.671069,-0.0327872,0.935515,-0.0401275,1.5723,-0.236435,-0.294318,-0.15399,-0.226564,0.0222569,-0.0165954,-0.0535514,-0.274434,-0.325115,-0.345344,2.78603,1.94255,0.112741,1.8829,-2.96544,-1.94562,-1.13209,0.456161,-0.744051,2.05875
-101.025,0.992493,0.0872615,6,127,0,129.966,0.305026,-0.53687,-0.0947023,-0.382287,0.0496079,0.380514,-1.91724,-4.3144,-4.53987,-2.01487,-1.00998,-1.11952,-0.324704,-0.830015,0.316576,0.208545,-2.36344,-2.47305,-4.18881,-0.130771,-2.70869,-0.942045,0.938982,-1.45018,-0.709428,-0.116153,-3.53449,-4.61236,-2.19772,-1.78185,-1.2484,-0.174623,0.659482,1.41053,-0.780202,-1.16583,-1.58777,-2.12241,-4.16734,0.371309,-0.887334,0.463816,-0.113279,1.8251,-0.0349996,1.42004,-0.230922,-0.221248,-0.206101,-0.24066,-0.0600174,-0.113023,-0.0893285,-0.244071,-0.271478,-0.112358,3.00526,2.38787,1.82023,2.20435,-1.65749,-3.41601,-4.34734,0.572747,0.735693,-1.01288
-102.273,0.989992,0.0872615,6,63,0,133.411,0.307243,-0.494023,-0.414343,0.844034,1.08813,-1.83787,-2.36671,-2.44334,-4.8179,0.556336,-2.15729,0.993164,-1.47632,0.993429,-0.390729,-0.12488,-1.88733,-5.82083,-4.95378,-0.667071,1.16367,-0.652089,-0.467215,0.634962,1.07554,-0.799268,-1.87497,-1.53755,-4.61384,-0.327049,-0.792514,1.26602,-0.319821,-0.844732,0.853977,1.19172,-2.83082,-3.28725,-2.35868,-1.63261,-0.856251,-2.29811,-0.118772,2.19787,-0.0772338,2.16964,-0.214034,-0.168182,-0.114992,-0.18877,-0.0408896,-0.0780331,-0.12894,-0.205919,-0.305593,-0.265408,3.19389,0.931017,-0.304308,1.82498,-2.97617,-3.44685,-3.58099,-0.216018,-1.22097,1.83974
-91.7183,0.764326,0.0872615,5,31,0,140.215,0.311271,-1.30031,0.691051,0.778663,-0.056572,-0.0331515,-2.75402,-4.19356,-4.20107,-2.00946,-0.995159,-0.962556,-0.993886,0.1615,-0.624108,0.218302,-2.85415,-2.6323,-5.5909,0.253379,-1.59448,-0.192086,0.92235,-0.575414,-0.872399,-0.0779084,-3.27916,-4.66815,-3.63415,-1.17032,-0.614112,-0.987028,-0.455393,-0.877813,-0.130867,-1.0878,-1.21764,-2.04655,-2.31849,-0.900315,-0.682577,0.277179,-0.118994,1.77914,-0.00613923,0.971513,-0.134331,-0.247422,-0.127437,-0.217859,-0.0624334,-0.120312,-0.137851,-0.26062,-0.226467,-0.215049,1.48496,2.60988,0.79171,2.1952,-1.85464,-2.8866,-1.88851,1.61497,0.336925,0.871009
-90.8814,0.997097,0.0872615,6,63,0,130.498,0.234777,0.835056,-0.830011,0.639683,0.434984,-1.04949,-1.78001,-3.34353,-1.65851,0.307988,-1.66317,1.11923,-1.16598,-0.435514,-0.45707,0.633358,-2.4762,-3.96426,-3.7188,-0.539884,-0.135149,-1.49404,-0.782667,-0.476848,0.695749,-1.04015,-1.61192,-4.19395,-3.11935,-0.565179,-1.4134,1.95323,0.567251,0.923438,-0.57264,0.796965,-3.02501,-1.90697,-2.33521,-0.679376,-1.34862,-0.946855,-0.0832739,1.07948,-0.0379891,1.31404,-0.195366,-0.130406,-0.0982595,-0.243712,-0.0340748,-0.0284206,-0.0879886,-0.189802,-0.266113,-0.197133,2.48781,0.337335,-0.190097,2.55881,-2.05066,-2.10899,-2.74424,-0.660398,-0.254702,-0.499467
-91.337,0.949428,0.0872615,6,63,0,116.058,0.318061,-1.76209,0.521292,0.871083,1.11856,-0.259432,-2.36711,-3.26351,-5.4963,-1.17074,-1.28455,0.2856,-0.337601,-0.253334,0.185897,0.854008,-2.03303,-3.82123,-5.34775,0.379399,-0.176082,0.669169,2.56983,0.213812,0.0710763,0.92525,-3.09681,-1.94939,-4.10558,0.455685,-0.354066,-0.032324,-0.755017,-1.28872,0.967255,0.325946,-1.14802,-1.46902,-3.93857,0.450381,0.99279,0.195828,-0.0969523,1.96072,-0.0106992,0.727472,-0.139037,-0.165865,-0.162512,-0.240012,-0.0786287,-0.0976688,-0.135083,-0.222504,-0.215917,-0.216446,1.02683,1.36902,1.05803,2.62511,-2.53142,-2.26569,-2.63503,0.520963,-0.162617,1.58749
-89.6876,0.916311,0.0872615,6,63,0,118.49,0.225447,0.991935,1.14932,1.85348,-0.198984,-0.767547,-2.06024,-3.42775,-3.07459,-0.0525147,-1.16656,0.769155,-1.94751,-0.858682,0.91482,0.00961128,-2.34599,-4.1697,-4.1259,-0.697374,-1.05065,-0.949909,0.178332,-1.31767,1.08303,-1.15002,-2.31821,-4.20069,-3.17566,-1.34268,-2.05241,1.82149,-0.578758,-0.190543,-0.569872,0.630751,-3.82282,-1.80951,-2.26081,-1.33454,-1.04763,0.452299,-0.0924567,1.26863,-0.0476759,1.4284,-0.170794,-0.182445,-0.186756,-0.150631,0.00574339,-0.00614994,-0.0922145,-0.17628,-0.176981,-0.28529,1.66261,0.89707,1.17687,1.08781,-2.33269,-2.3955,-2.45822,-0.373477,-0.635292,1.53023
-95.4779,0.957634,0.0872615,6,63,0,118.068,0.198206,0.711234,0.119861,1.11486,-0.284144,-1.46881,-2.31216,-3.84562,-3.63015,-0.695224,-0.24805,1.01864,-1.71632,-0.923267,1.0927,-0.0108067,-2.74226,-3.40186,-2.96547,-0.540709,-0.441338,-0.532358,-0.123179,-1.77651,-0.866736,-1.29272,-2.68718,-4.31581,-2.83098,0.0764237,-1.34829,1.40709,-0.586976,0.213871,-1.02887,-0.464545,-1.88929,-2.84791,-3.11388,-2.04949,-0.853708,0.396464,-0.107346,1.64807,-0.05545,1.50107,-0.136661,-0.161678,-0.1646,-0.223815,-0.0230178,-0.0441091,-0.00850402,-0.225843,-0.166426,-0.254026,1.56836,1.13733,1.13905,3.01891,-0.789448,-2.01356,-3.12925,0.303672,-0.572675,1.59018
