# 0.00881009, 3.29157, 0.664216, 0.949961, 1.08505, 0.924497, 0.876617, 0.541866, 0.969039, 1.15357, 0.620141, 0.742081, 0.923129, 1.08207, 0.605478, 0.627164, 0.721081, 0.938031, 1.07359, 1.14875, 1.9623, 1.69675, 1.7071, 1.9195, 2.3605, 2.07839, 2.26095, 2.32498, 2.84919, 2.53783, 0.906729, 1.01363, 1.49782, 1.08497, 1.1932, 1.38362, 1.24911, 1.21373, 0.756655, 0.617631, 0.867706, 1.19467, 0.00131229, 0.543916, 0.000213642, 0.151506, 0.00266689, 0.521565, 0.00286562, 0.715325, 0.0021959, 0.364091, 0.00263083, 0.659419, 0.00178684, 0.433497, 0.00222303, 0.626512, 0.00371522, 0.713054, 0.00386993, 0.725718, 0.00556388, 0.926113, 0.00361441, 0.822064
-103.432,0.998071,0.0779399,6,63,0,131.615,0.274707,-0.810569,1.29118,2.38955,1.68783,-0.0932304,-2.94962,-2.68056,-1.86474,-1.86813,-1.71323,-0.0645318,-1.97325,0.37328,-1.05481,0.356317,-1.68144,-2.67749,-4.3128,1.58679,0.295471,-2.07019,-0.50258,-0.185282,1.16283,-1.42054,-2.69151,-2.0155,-4.06104,-1.33931,-0.28228,-0.21658,-0.233306,0.276938,1.27715,-0.466536,-2.18829,-2.21276,-2.01798,0.557035,-0.943013,-0.219559,-0.0555766,0.814407,-0.0498281,1.03381,-0.183433,-0.187009,-0.163544,-0.267412,-0.0829598,-0.0712021,-0.153228,-0.206368,-0.154703,-0.099872,2.34152,1.34235,1.24358,2.81049,-1.74284,-3.57803,-1.98191,-0.478188,-1.50064,-0.160499
-100.828,0.996015,0.0779399,6,63,0,130.955,0.258723,-0.0806293,-0.247355,0.402865,-0.548142,0.963349,-0.943235,-2.09734,-4.10652,0.447407,-0.665556,0.55119,-0.335129,1.8434,1.17942,0.818098,-1.52839,-3.3501,-2.57267,-1.63847,0.230056,0.0374115,0.633418,-0.636819,0.729259,1.45473,-1.08181,-2.27944,-1.55461,0.477485,0.985569,1.90727,0.595352,2.0154,-1.43689,0.407061,0.026407,-0.449311,-2.28255,-0.19973,-0.387829,0.334166,-0.035039,0.938398,-0.0425051,1.06872,-0.128382,-0.2668,-0.117537,-0.296975,-0.071111,-0.0696603,-0.0917173,-0.146593,-0.29086,-0.186022,1.22461,2.95816,0.306281,2.58532,-2.73699,-2.33282,-4.11657,-0.975663,0.168982,-0.473317
-113.719,0.922703,0.0779399,6,63,0,139.08,0.232011,0.0445717,0.0118933,-1.14723,-0.0795017,1.51914,-0.999298,-2.00803,-1.92891,2.16015,-1.32958,0.457329,-1.02985,1.48935,1.36158,-0.547082,-2.0205,-1.57125,-4.81428,-0.839689,-1.80961,-0.0808377,1.97735,1.08239,1.00702,0.654256,-2.43185,-0.688475,-2.04721,1.13714,-0.224353,2.00522,0.457637,0.147677,-0.518465,0.915857,-1.95619,-1.95073,-0.102799,-0.183088,-0.822174,1.26854,-0.0748767,2.18208,-0.0418465,1.09952,-0.111319,-0.190296,-0.123677,-0.306088,-0.0272474,-0.105961,-0.0904907,-0.236538,-0.145436,-0.155188,1.22126,2.09121,0.368197,2.98103,-1.87203,-2.37546,-4.91602,0.084926,0.283544,0.0590622
-117.061,0.905739,0.0779399,6,63,0,162.436,0.164442,2.82917,0.918008,1.56518,0.233201,-1.95164,-0.396918,-2.49262,-1.72539,1.05015,-1.64512,-0.304006,-0.469459,-1.33131,-0.268418,0.227256,-2.9066,-1.77173,-4.0771,-0.488396,-0.363628,-0.587774,-1.29837,0.209793,-0.641832,-0.438288,-2.086,-0.820976,-3.09176,0.76423,-0.513655,-0.851718,-1.10125,-1.26194,0.475581,-1.31009,-2.46381,-2.16814,0.631719,1.04012,-0.0291285,-0.967386,-0.0927469,1.46473,-0.0318638,1.47615,-0.274101,-0.222994,-0.136847,-0.179188,0.0321436,-0.0471515,-0.0464121,-0.320846,-0.235474,-0.23922,3.18836,1.92153,0.131252,1.08696,-2.22666,-3.52041,-3.92521,0.253936,0.914136,0.751259
-106.849,0.986863,0.0779399,6,63,0,151.778,0.176106,1.03771,-0.368337,1.47796,0.51726,-0.663209,-1.18276,-0.377585,-2.5605,-3.16444,-0.175915,0.726995,-2.65513,1.23408,-1.69949,0.0534652,0.578876,-3.04497,-1.7628,-0.0622095,-0.331811,-1.64252,0.279638,-1.3131,-1.37524,-0.119198,-0.858778,-1.92491,-0.114824,-1.94968,-1.316,1.13412,0.673513,0.187005,-1.37159,0.461801,-0.692706,0.207177,-2.05887,-0.259374,-0.306455,-0.365409,-0.0697213,0.776359,-0.0418704,0.89062,-0.150304,-0.322171,-0.0733397,-0.197814,0.0133916,-0.0673129,-0.0863051,-0.225521,-0.242689,-0.193598,2.59326,3.46793,0.195598,2.16652,-3.12797,-2.12671,-1.5577,0.591822,1.00574,0.903632
-103.409,0.944226,0.0779399,6,63,0,141.084,0.129244,1.40214,0.35197,-0.87915,0.266235,-0.64275,-0.826296,-2.24688,-0.0334162,2.21244,-1.43061,0.37291,0.0251428,-0.926912,1.06936,0.405173,-1.10694,-1.02463,-2.25029,0.971316,1.41982,-0.262615,1.30232,-0.257377,0.716921,-0.411712,-0.367699,0.232642,-1.05415,1.57401,0.804616,0.0209113,0.807171,1.05969,1.44914,0.218256,0.723202,-0.567966,1.25006,-0.240945,-0.367049,0.868243,-0.0369544,1.12336,-0.0386026,1.37089,-0.162328,-0.111886,-0.162801,-0.245803,-0.027741,-0.0560311,-0.102906,-0.275467,-0.219029,-0.118394,1.15997,1.00351,1.12935,2.99543,-1.05116,-3.2244,-2.80919,-0.408472,0.70333,-0.0466811
-105.11,1,0.0779399,6,63,0,132.317,0.123244,4.2972,0.176936,0.790629,0.350333,-0.175551,-1.02452,-3.05571,-1.57669,-3.32255,-1.9955,0.367476,-0.879814,0.64847,-1.25599,0.844707,-1.06266,-2.09946,-3.49447,-0.384087,0.0538479,-0.626994,-1.12791,-0.822042,0.255389,-0.174797,-0.768077,-1.32065,-2.89703,-0.216447,-1.09695,3.0749,-0.65773,-0.908495,-0.914407,-0.567596,-3.20846,-1.24596,-0.167976,-0.520934,0.188254,-1.84624,-0.0623073,0.676411,-0.035595,0.922414,-0.26144,-0.36081,-0.153478,-0.216435,0.0781704,-0.0406432,-0.0420143,-0.202466,-0.245485,-0.333107,2.63637,3.49192,0.43705,0.574468,-2.63001,-1.81209,-1.70327,0.578685,-0.866668,1.17453
-110.369,0.99468,0.0779399,6,63,0,144.982,0.076237,5.42407,-0.0811899,0.937259,0.292234,-1.27746,-2.16757,-1.15847,-0.313378,-3.14401,-3.338,-0.388623,-1.16937,0.494121,-1.56813,0.107529,-0.561316,-2.55986,-2.34497,-0.324369,-0.303811,-0.733698,0.121763,-1.41443,-0.183728,-0.340961,1.13519,-0.482664,-2.22827,0.43193,-0.137911,2.20505,-0.216917,-1.24294,-3.10017,1.09476,-1.0685,0.276407,-1.50235,-1.45555,0.387328,0.130346,-0.0352877,-0.0824251,-0.035112,0.815263,-0.222544,-0.333155,-0.141858,-0.185171,0.0131453,0.00607774,-0.0233291,-0.207161,-0.164641,-0.225357,1.95287,2.59015,0.317528,0.630421,-2.10707,-1.10766,-1.08799,-0.0914905,-1.25585,0.745516
-109.157,0.961694,0.0779399,6,63,0,139.967,0.168324,0.333294,0.0934345,-0.154326,0.2691,0.178027,-0.24174,-2.54147,-3.59379,1.90353,2.42546,0.747096,-1.52277,0.046728,1.0171,0.115326,-1.53708,-4.23845,-2.19862,0.0590745,0.944303,-0.704601,0.332488,0.0905524,0.293535,-0.714519,-1.82033,-1.70306,-1.45927,-0.934623,-1.4363,-1.06761,0.168202,1.20959,2.75542,-1.56672,-0.302219,-2.33874,-3.21898,0.308262,-1.8566,-0.669421,-0.0799524,1.46238,-0.0617254,1.63827,-0.149715,-0.182831,-0.103752,-0.267647,0.0215691,-0.0111491,-0.0311081,-0.155698,-0.278736,-0.130893,2.61374,1.9553,0.458274,3.35217,-2.51937,-4.22218,-4.3859,-0.193971,1.10985,0.465679
-100.669,0.987784,0.0779399,6,63,0,139.697,0.274041,-2.19767,0.833389,1.47246,1.74927,0.107345,-2.53002,-1.37878,-1.72045,-0.696509,-0.660065,0.170491,-0.558105,0.545201,-0.091256,0.209281,-1.79273,-1.93072,-4.74009,-1.16736,1.79315,-1.18548,0.210276,-0.455597,0.964666,-0.142387,-0.818206,-1.61355,-4.15256,-0.595698,1.04249,1.40404,1.00341,0.0807781,0.752658,0.483509,-1.9648,-1.70258,-1.77306,1.02499,0.399558,0.579451,-0.0493431,1.26306,-0.0596945,1.75309,-0.144871,-0.175725,-0.0822541,-0.20509,-0.0558702,-0.0302735,-0.137017,-0.149699,-0.319019,-0.0804991,1.39984,1.92111,-0.244625,2.47039,-2.7537,-4.96303,-2.61462,0.491342,0.594742,-0.403785
