# 0.00903035, 4.2369, 0.724131, 1.05743, 1.07444, 1.22418, 0.616085, 0.615192, 1.15204, 1.22606, 0.673904, 0.885617, 1.12476, 1.16743, 0.801894, 0.692847, 1.03615, 1.4153, 1.12836, 1.12481, 1.48945, 1.39451, 1.56233, 1.81762, 2.01404, 1.927, 1.81799, 2.09537, 2.66866, 2.71674, 0.779636, 1.1071, 1.41136, 1.33755, 1.00048, 0.977141, 1.20312, 1.58623, 0.878579, 0.85127, 1.06298, 1.40798, 0.00110949, 0.568602, 0.000296895, 0.191487, 0.00248181, 0.584711, 0.00315337, 0.55052, 0.00255163, 0.330077, 0.00212822, 0.471631, 0.00184982, 0.480107, 0.00260251, 0.691138, 0.00396023, 0.736851, 0.0047147, 0.887212, 0.0055166, 0.826058, 0.0050083, 0.893617
-97.8794,0.755439,0.083243,7,191,0,131.239,0.139833,2.28287,-1.43037,-0.393448,0.163255,-0.188348,-1.44298,-0.528495,-1.02638,-0.212598,0.0518847,0.929426,-0.713879,-0.507074,-1.01036,1.08608,-1.49108,0.303779,0.652907,0.743844,0.455192,-1.57348,0.339263,-0.199466,1.21776,-1.54343,1.79564,0.00905941,-0.211757,-0.995405,0.173114,0.843022,0.654552,-1.45559,0.844177,0.624442,0.0576458,0.983395,0.0442872,-0.167281,-0.00881053,-0.750035,0.00268816,-0.264258,-0.0628933,1.3941,-0.137533,-0.182594,-0.134675,-0.246487,-0.0058566,-0.0581802,-0.0949942,-0.190464,-0.207954,-0.204565,1.57338,1.41592,0.570054,2.40169,-1.54365,-3.64937,-1.67188,-0.812892,-0.179694,0.656954
-94.4993,0.968077,0.083243,6,63,0,126.153,0.105036,3.1166,-1.32968,-0.437389,0.211317,-1.05095,0.518096,0.526747,0.0785264,0.639633,0.215658,0.427288,0.451134,-0.699839,0.295813,0.98348,0.0928118,-0.933351,-1.85127,-0.067074,-1.3797,-1.30806,-0.302999,-0.380103,-0.315317,-1.17823,1.59967,-0.156379,1.42838,-2.28053,1.13076,-0.270921,0.10574,-0.389246,-0.39941,0.27099,1.65739,1.12633,0.587222,-0.264249,-1.0908,-1.32391,0.0113697,-0.423131,-0.0590655,1.72569,-0.195681,-0.186755,-0.17794,-0.250758,-0.00967305,-0.0303441,-0.0425848,-0.19308,-0.240179,-0.153126,2.41221,1.73654,0.909496,2.73358,-2.21546,-2.70388,-4.30686,-0.499324,0.0739793,0.210135
-90.0036,0.978822,0.083243,6,63,0,115.583,0.14839,2.97003,0.133486,0.711746,0.0588392,-0.772372,-0.155292,-2.08843,-1.07404,-0.912622,-0.353797,1.30421,-1.10135,-0.639163,-0.867105,-1.30291,0.960778,-0.906529,1.12429,0.00148062,-1.55569,0.0998194,0.0402943,-0.165915,0.0516918,-0.248138,0.161692,0.418692,-0.836141,-0.0519686,-0.791371,-0.872947,-1.85376,-0.783404,-0.744165,-1.24336,0.128268,0.274196,0.382862,0.12476,-0.453562,-0.568226,-0.000120867,-0.682622,-0.0614793,1.35885,-0.221131,-0.198569,-0.113991,-0.212759,-0.0186772,-0.0431288,-0.0819976,-0.224425,-0.191188,-0.282231,2.30584,1.38222,0.291545,1.97767,-2.69336,-4.38534,-3.62412,0.297559,-0.798024,1.22356
-98.7288,0.78221,0.083243,5,63,0,124.253,0.14639,3.05039,-0.65757,-0.0176916,0.802011,-1.5147,-1.00638,-1.974,-1.60767,-1.07991,-0.117534,2.00283,-1.21834,-1.55885,-0.294785,-1.6593,-0.298382,-2.61957,0.306589,-1.27507,-0.410384,-1.49875,0.510037,-0.259734,0.752515,-0.712645,0.137448,-0.655032,0.628284,0.320111,-1.21301,0.227714,-1.36886,-0.652247,-0.224769,-0.934811,0.392579,1.20025,0.582563,-0.251265,-0.708918,-0.636065,-0.00696901,-0.266635,-0.0556156,1.44294,-0.209356,-0.195006,-0.167569,-0.18368,0.0183091,-0.0631689,-0.072359,-0.196283,-0.215127,-0.270711,2.04962,2.06616,0.522705,1.60204,-2.70276,-4.27657,-4.17939,0.0717301,-0.037097,0.812196
-102.237,0.963741,0.083243,5,31,0,129.327,0.183094,1.25359,0.605702,1.07575,-0.701677,0.125681,0.352283,-0.11822,0.172975,-0.420915,-1.09184,-1.1244,-1.20891,1.2293,-0.584103,0.481085,0.830068,-0.668972,-2.54581,0.449074,0.488839,-0.86524,-0.412443,-0.300859,-1.13572,-1.40703,-0.217311,0.642499,-1.09494,0.170242,0.859506,0.275404,-0.655874,0.123013,1.07711,1.35674,-0.192905,-0.797942,0.0614049,-0.563643,0.755759,0.610428,-0.00424726,0.0795663,-0.0382753,1.2781,-0.187261,-0.204006,-0.112476,-0.178951,-0.0404842,-0.112403,-0.0922809,-0.1223,-0.183615,-0.0952273,2.36619,1.80732,0.973379,1.11109,-3.58418,-2.29576,-2.34508,-1.75177,-0.0981902,-0.546036
-100.872,0.979641,0.083243,5,63,0,138.53,0.0927308,1.66719,-1.22143,0.57577,1.20789,-0.447066,-0.285138,-2.49063,-0.614502,-0.0728136,-0.915646,1.22741,-1.73437,0.181875,-0.344937,-0.279832,-0.996617,-2.86946,-0.547141,2.08272,2.53676,-0.512904,1.3343,0.153322,1.01678,0.437549,-1.9703,-1.84954,0.359546,1.21806,0.389109,0.380955,-0.715616,0.951341,-0.66249,-0.402888,-0.872772,1.37873,0.366432,0.661297,-1.43872,-0.115583,-0.0219558,0.828515,-0.0761654,1.90593,-0.133635,-0.231225,-0.108413,-0.167547,0.0543968,-0.00250448,0.0129725,-0.264094,-0.221094,-0.200945,2.41345,2.80726,0.227293,1.518,-2.3065,-2.59077,-4.75063,1.52017,-0.775452,1.27148
-105.812,0.986178,0.083243,6,63,0,135.25,0.185018,1.49412,-0.252149,0.545162,-0.552638,-0.411985,-1.09854,0.272049,-2.47183,2.1253,-1.41534,-0.187882,-1.81572,0.154705,-0.777496,0.0288813,-1.07054,-0.705443,-2.13776,-0.309206,1.70281,-0.761996,1.62823,-1.38367,-0.352694,-2.21382,-0.209678,-2.11493,-1.8983,0.0891311,0.295383,2.03842,-0.498393,-0.645878,0.260935,-0.111929,-0.0087484,-0.95025,-2.23934,-0.877505,0.048904,1.53495,-0.0319712,0.750239,-0.0665311,2.1337,-0.17016,-0.292423,-0.0989448,-0.152969,-0.0212447,-0.0378408,-0.00523167,-0.32942,-0.21007,-0.195196,2.29352,3.41247,0.128343,0.997113,-1.89577,-3.85263,-5.77129,1.59283,-0.898435,1.03104
-103.263,0.857018,0.083243,6,63,0,139.906,0.18355,1.48962,0.494168,0.736017,0.391449,0.267727,-0.34427,-0.333905,-1.8954,0.735649,-0.793906,2.30587,-0.779892,0.686479,-1.07542,-0.161108,0.751637,-3.01263,-2.37728,0.776019,0.950684,-0.94249,-0.923446,1.63746,1.96091,0.077372,-3.15151,0.399306,0.0650517,-0.437153,0.241679,-0.605514,0.425254,0.358068,0.544366,-1.48111,-0.420982,0.878243,-2.46049,-0.203461,-0.0909876,-0.60852,-0.027147,0.81312,-0.0797971,1.54355,-0.141886,-0.2759,-0.103133,-0.242987,-0.0417953,-0.0517283,-0.0029661,-0.267276,-0.213855,-0.258627,1.03201,2.73517,0.147377,2.09756,-2.75528,-3.82134,-4.96666,0.788183,-1.47547,1.19773
-98.7755,0.815622,0.083243,6,127,0,140.277,0.221283,1.92125,1.71365,0.493539,0.725827,0.262431,-2.07861,-2.03462,-2.42336,-0.511309,-0.914888,2.61887,-2.36271,0.795753,-0.260115,-0.443483,-1.6673,-1.13051,-4.17146,-0.914942,0.0712675,-1.18898,0.346661,0.812778,-0.159271,0.248231,-1.86003,-1.38671,-2.99208,-1.22819,-0.362666,-0.264456,0.860992,-0.960763,-0.334589,1.01606,-2.42966,-0.000596726,-2.06138,-0.993853,-0.825012,-1.06352,-0.0653975,1.36636,-0.0717662,1.68754,-0.169919,-0.276627,-0.156458,-0.217747,0.00740461,-0.0559894,0.0288909,-0.271615,-0.218094,-0.2779,1.52819,2.64185,0.580093,1.46383,-2.9266,-4.27943,-5.64469,0.872939,-1.29096,0.441196
-95.692,0.983323,0.083243,5,63,0,130.903,0.245424,0.849758,-0.31189,-0.547015,-0.00939698,-0.964518,-0.531776,-1.85976,-1.84496,0.130412,-0.195492,0.931134,-0.709517,-1.0321,-0.557545,0.285863,-1.62252,-2.29516,-2.08103,-0.0574079,1.43526,-0.029891,-0.18732,-0.972882,0.10963,-1.64405,-0.837571,0.0522715,-1.92874,-1.21655,-1.32559,1.96784,0.200645,-0.185417,0.296439,1.2214,-0.251883,-1.59341,-1.27972,-0.758225,-0.825661,-0.584156,-0.0509833,0.666046,-0.065619,1.83608,-0.137072,-0.241288,-0.146802,-0.167241,-0.018574,-0.0760298,-0.126406,-0.245839,-0.472945,-0.237291,1.14672,2.91137,1.11044,1.30123,-2.2045,-2.45677,-3.60967,-1.07543,1.87848,0.89506
-98.0637,0.963038,0.083243,5,63,0,129.261,0.1383,1.6862,0.524021,1.64313,0.977507,0.174749,-0.442629,-0.385612,-1.15771,-0.493642,-1.12074,-2.08043,-1.37662,-1.3141,-0.421397,-0.439358,0.909809,-1.83746,-2.34582,-0.42114,-0.607938,-0.594377,1.12634,-1.71722,1.35646,-0.122467,0.295142,-2.26934,-0.142348,0.142194,-0.338914,-0.292015,-0.0282986,-1.49892,-0.192463,-0.26685,-0.206654,0.511093,0.377298,0.28768,0.23336,-0.0570539,-0.0176954,-0.105975,-0.0167851,1.44222,-0.212638,-0.247228,-0.11187,-0.214381,-0.000947817,-0.0155584,-0.0755079,-0.223353,-0.248706,-0.116181,3.2794,2.9605,0.11974,2.06096,-2.66457,-2.90332,-1.74911,0.301276,1.73309,0.511992
-89.0437,0.909676,0.083243,5,31,0,118.019,0.134152,2.41132,-0.657841,1.17564,0.882346,-0.76032,-1.20703,-1.09596,-1.3284,-0.773064,-0.416454,-0.630662,-0.755492,-0.319003,-0.530205,0.356777,-0.355074,-1.8098,-2.45776,0.116555,-0.376609,-0.987786,-0.189126,0.805754,0.391079,-0.423216,-0.325935,0.78538,-1.24355,0.619066,0.619623,0.315936,0.75861,0.53926,0.32467,0.82518,0.550911,-0.00156394,-0.463559,1.18773,1.10769,-0.510966,-0.034428,0.444381,-0.0486991,1.17325,-0.2144,-0.231342,-0.124638,-0.226039,-0.0186298,-0.0519514,-0.0677317,-0.251218,-0.281392,-0.153453,3.07735,2.08215,0.0607906,1.96716,-2.13208,-2.34935,-0.847371,0.601149,1.77482,0.456635
