# 0.00593022, 2.66208, 0.691516, 0.880702, 1.05613, 1.48713, 0.552389, 0.739338, 0.868923, 1.5305, 0.626237, 1.01918, 0.929819, 1.23147, 0.551681, 0.66269, 1.38485, 1.40502, 0.992361, 1.20592, 1.59768, 1.60192, 1.53708, 1.29001, 1.89989, 1.56196, 1.91343, 1.71324, 1.7863, 1.93478, 0.634237, 0.691931, 1.20936, 1.437, 1.07261, 1.37236, 1.03906, 1.34098, 0.820335, 0.891404, 0.851561, 1.345, 0.000950624, 0.576193, 0.000249025, 0.166266, 0.00257885, 0.536524, 0.0030454, 0.607278, 0.00240488, 0.379384, 0.00231464, 0.458642, 0.00129499, 0.387248, 0.00169135, 0.63351, 0.00278747, 0.711989, 0.00427208, 0.789083, 0.00537154, 0.832634, 0.00307997, 0.875432
-94.0011,0.812318,0.0891479,5,31,0,125.247,0.151379,0.651145,0.0186425,-0.332827,0.571008,-0.998068,-1.36965,0.139123,-0.487997,-0.390533,-0.77063,0.528613,-1.49122,0.17694,0.921442,0.739184,0.628316,-2.86209,-2.05924,0.470164,1.50331,0.367337,0.512671,0.160745,1.4561,0.829298,-0.124383,-0.216039,-2.56138,0.676577,-0.232745,1.17733,1.01875,-1.26776,0.690949,2.12814,1.07669,-0.921829,0.200827,-1.26828,-0.658983,0.823998,-0.0180354,0.452308,-0.0340132,1.01188,-0.0836044,-0.152602,-0.115597,-0.253011,-0.0198635,0.0078597,-0.072574,-0.161927,-0.228781,-0.079914,0.825483,1.57695,0.325579,3.02968,-2.77585,-2.78741,-2.33103,-0.213312,-0.152384,-0.967576
-84.5697,0.907009,0.0891479,6,63,0,121.804,0.186432,2.44653,0.0116573,1.0867,0.00405829,0.0917509,-1.13046,-2.12265,-1.73791,-0.648958,-1.11173,0.4011,-0.704356,-0.619128,-0.771255,-0.631381,-1.5817,-2.58668,-1.65069,-0.556983,-1.28675,-0.55363,-0.44418,-0.875284,-0.894854,-0.793443,-2.18449,-0.85632,-2.03604,-0.497199,-0.455088,-0.0648749,-1.12051,-1.21482,-0.853041,-1.65571,-1.2899,-0.460704,-0.765054,-0.700877,-1.46885,-2.19578,-0.0560504,0.352974,-0.0629619,1.6812,-0.287339,-0.281643,-0.165687,-0.182107,0.0048056,-0.0586838,-0.0587952,-0.220965,-0.241874,-0.297577,3.61871,2.87598,1.03739,0.826736,-2.29637,-2.98329,-3.73451,0.112756,-0.452292,1.94658
-85.9414,0.936205,0.0891479,6,63,0,115.269,0.232574,0.767551,0.227998,-0.23313,0.627295,-1.02926,-2.51224,-3.00036,-4.0389,-1.14255,-0.44624,-0.454014,-1.28771,0.248448,0.100176,0.195048,-1.43726,-3.61475,-3.95858,-0.761269,0.316225,-2.13068,-0.0770599,0.0733815,0.891607,0.164885,-3.18778,-2.48662,-2.9208,0.0661266,-0.987596,1.08213,-0.976265,-0.14651,0.400493,1.13799,-0.974845,-3.47649,-2.79553,0.116586,0.525547,0.708296,-0.0864441,1.576,-0.0115097,1.03005,-0.162656,-0.171145,-0.181132,-0.253389,-0.013591,-0.0339238,-0.0924957,-0.173455,-0.223436,-0.150081,1.9985,1.25565,1.28319,2.6588,-1.84777,-1.92183,-1.95314,-0.136382,0.0158618,0.411358
-88.131,0.96149,0.0891479,6,63,0,106.521,0.261655,-1.57148,0.166683,1.24167,1.31906,-0.230705,-0.79575,-2.57777,-3.05678,0.474718,-0.103691,-0.0339969,-0.79856,0.580886,-0.652467,-1.0725,-2.24133,-3.36853,-3.6878,-0.0184812,0.744624,-1.11158,0.480319,0.10194,1.74513,-0.406263,-2.54613,-1.95159,-2.05027,0.0371047,-1.66524,1.958,-0.00819319,-0.329335,0.982888,0.139267,-1.15194,-1.9106,-2.21637,-0.530551,-0.343849,0.423801,-0.0755911,1.23192,-0.0694055,1.5817,-0.171169,-0.242895,-0.0828564,-0.162007,-0.0406906,-0.0775908,-0.128887,-0.192791,-0.225422,-0.243662,2.60602,2.76275,0.0138855,1.94176,-2.46317,-2.24019,-4.09555,-0.0222257,0.00696234,2.37597
-97.4465,0.994436,0.0891479,5,31,0,114.953,0.258987,-1.50661,-0.356639,1.37343,0.873522,-0.307556,-1.74602,-1.15093,-3.39705,0.617162,-0.917156,-0.787431,-1.01567,1.33179,-0.637995,0.759307,-2.63785,-3.79586,-1.80641,-0.0686957,-0.444107,0.989978,0.0335587,0.335815,1.84866,1.17809,1.49916,-1.28581,-2.24471,-1.6399,-1.86603,1.17402,-0.285129,0.118437,-0.0095975,0.0891239,-1.67576,-1.82931,-1.0259,-0.82736,1.3562,-0.643217,-0.0691453,1.18201,-0.0599413,2.29361,-0.131878,-0.219672,-0.0747091,-0.148941,-0.0284326,-0.0941404,-0.128285,-0.187928,-0.220471,-0.170492,2.17769,1.97284,0.0882409,1.15419,-2.517,-2.52899,-3.04088,0.135239,0.659352,0.701265
-99.3475,0.771438,0.0891479,6,127,0,133.74,0.294235,0.658047,0.27318,0.541888,0.849949,0.421274,-1.86322,-2.80672,-4.29642,-1.56564,-1.42129,2.31111,0.508825,0.118804,0.14428,1.07562,-2.55556,-3.21272,-3.68468,-0.259203,-1.12397,-0.27649,0.778202,-0.408279,0.590128,-0.733993,-1.2785,-2.99346,-4.76858,0.668136,1.30611,1.0105,0.99498,-0.403996,0.99657,3.26113,-2.46929,-3.47753,-3.12477,2.16029,-1.04728,1.39962,-0.0892673,2.32559,-0.0306464,0.768561,-0.284939,-0.237891,-0.224434,-0.329452,-0.0195063,-0.0375343,-0.137322,-0.272818,-0.230988,-0.301652,2.98996,1.76585,1.31187,3.09587,-2.56355,-3.42961,-3.51253,0.654943,0.0666339,1.43213
-104.427,0.841614,0.0891479,5,63,0,135.821,0.285328,1.33851,2.59988,0.576174,0.0849753,0.0449515,-1.60435,-4.22865,-6.25183,-0.835056,-0.752675,1.10535,-0.0954078,0.297969,0.895434,0.307287,-1.4748,-3.83558,-4.94076,-0.396775,-0.775243,0.58618,0.0108638,0.277658,-0.0162102,-1.2971,-3.54336,-2.99231,-4.7063,0.226199,-0.0750696,1.94473,1.45916,2.49132,1.3119,1.1344,-1.55199,-5.16455,-2.45949,0.414269,0.510125,1.03337,-0.117848,2.99774,-0.0406457,1.4639,-0.261133,-0.284795,-0.261494,-0.290358,-0.0673462,-0.0768445,-0.093317,-0.252699,-0.31425,-0.33643,2.47655,2.29606,1.91075,2.29332,-3.09201,-2.79238,-3.01063,0.578941,0.365995,0.471527
-98.1803,0.984213,0.0891479,7,191,0,137.245,0.377462,-1.9367,1.01187,0.0284145,1.71596,-0.810383,-3.46844,-2.27128,-3.44783,-1.40269,-1.6795,-1.50401,-1.7214,-0.163357,-0.676549,-0.501213,-2.96028,-3.80531,-5.51635,-1.32562,-0.670728,-1.08865,0.491474,-0.657423,1.48578,0.297712,-1.8579,-3.25799,-2.39936,-0.930212,-2.49166,0.128741,-0.788261,-1.51662,-2.08739,-0.933751,-1.90397,-1.72631,-1.80897,-0.157147,-0.924329,-1.84458,-0.0937187,1.37611,-0.0567347,1.39521,-0.129275,-0.168647,-0.152312,-0.19282,-0.0354256,-0.11447,-0.184288,-0.150628,-0.202299,-0.181911,1.6831,1.23156,0.569426,1.36851,-2.29828,-3.24142,-2.13207,-0.018991,-0.665427,0.806289
-102.708,0.993284,0.0891479,5,31,0,130.582,0.304,-1.16261,-0.697234,0.852595,-1.0266,-0.913604,-0.895039,-4.53299,-4.89332,-0.836778,-0.809213,1.71853,-1.75313,0.479805,0.245832,0.0901987,-1.63914,-3.92639,-3.48888,1.0059,-0.949623,-1.23149,-0.8178,0.248922,-0.737347,-1.54182,-3.03627,-2.54771,-4.68377,-0.701041,0.965943,0.228636,0.492854,1.39126,1.29616,0.429092,-2.03141,-3.0906,-4.41583,-1.61699,-1.01613,0.671745,-0.119924,2.02524,-0.0614426,1.30355,-0.160153,-0.237022,-0.13946,-0.240891,-0.03095,-0.0570516,-0.0960157,-0.264715,-0.160259,-0.145988,2.9759,2.53767,1.03213,2.06618,-3.71912,-2.3382,-4.32686,1.00518,-0.248768,-0.898217
-105.3,0.91204,0.0891479,6,63,0,134.992,0.394307,-2.4903,0.975184,0.323837,1.4771,0.735168,-3.08742,-2.79246,-3.68901,-1.85002,-1.98904,-1.01566,0.356208,1.51052,-0.678872,-0.131534,-3.92621,-4.97937,-6.5472,1.72661,-0.616284,-0.185993,2.49078,1.45868,0.50613,0.627564,-3.2195,-4.17355,-3.02359,-1.66533,-2.9699,-0.0273426,-0.0175131,-0.411192,-0.277842,-0.00075461,-3.36736,-2.5642,-3.46161,0.354022,-1.1406,-1.56334,-0.130892,2.22559,-0.0715351,2.15979,-0.257817,-0.26281,-0.140932,-0.14212,-0.0780801,-0.118071,-0.1192,-0.233953,-0.310798,-0.223601,2.31372,2.61272,0.508285,0.853497,-2.31988,-3.50504,-3.6697,-0.084723,1.55332,1.31865
-105.486,0.911477,0.0891479,6,63,0,135.975,0.378879,-0.375881,-0.203528,0.695026,-1.02568,-1.00204,-2.61634,-3.55475,-5.50026,0.240825,-0.499913,1.11471,-2.17131,-0.382585,1.04323,-0.355446,-2.24382,-3.61815,-3.37521,-2.00472,-1.09509,-1.43337,-1.57673,-1.43365,0.120352,-1.04517,-2.48561,-3.37871,-5.00917,0.390476,1.13091,0.735562,0.995299,1.41127,0.188781,-0.357596,-1.04,-2.88095,-3.46987,-1.45626,-0.492453,1.08075,-0.107136,1.98963,-0.0270429,0.840844,-0.221628,-0.294204,-0.217622,-0.254033,-0.0802061,-0.10658,-0.182209,-0.281144,-0.270684,-0.189964,3.04779,2.53811,1.28251,1.78,-2.86828,-2.11233,-2.79812,1.09247,-1.20819,-0.868963
-107.56,0.99968,0.0891479,6,63,0,142.106,0.249266,-0.0461384,0.29569,-0.875626,-1.15615,-0.13735,-1.45282,-1.95445,-1.5333,-0.740559,-1.56014,-0.987889,-1.1585,1.39499,-1.84045,0.138129,-2.23934,-4.20939,-5.28503,-0.172013,-0.162502,-1.05524,2.26279,-0.0147197,0.638901,0.538278,-2.47923,-1.96415,-0.251391,-0.495031,0.515636,1.10998,-0.142593,-0.87773,0.751645,0.0815207,-3.95086,-1.58561,-1.48922,-1.31365,-0.100955,1.20888,-0.0722708,1.05814,-0.0545098,1.69194,-0.150971,-0.264495,-0.129113,-0.176902,-0.0138332,-0.0497787,-0.142503,-0.125742,-0.27298,-0.157151,1.27421,2.82202,1.65786,1.67017,-2.59498,-3.20416,-2.49127,-1.48959,1.48355,0.145729
